timestamp,vibration_mm_s,temperature_c,pressure_bar,current_a,rpm,acoustic_db
2024-06-01T00:00,2.627,64.05,7.923,11.661,1476.4,72.73
2024-06-01T00:10,2.805,64.21,7.966,11.392,1472.2,72.12
2024-06-01T00:20,2.2,64.49,8.034,12.116,1472.2,72.43
2024-06-01T00:30,2.75,64.04,8.081,12.333,1473.2,70.87
2024-06-01T00:40,2.855,64.84,7.866,11.493,1477.2,72.49
2024-06-01T00:50,2.751,65.79,7.999,12.722,1473.4,72.31
2024-06-01T01:00,2.767,65.53,8.096,12.17,1476.0,70.49
2024-06-01T01:10,2.348,64.75,7.861,11.689,1471.2,71.33
2024-06-01T01:20,2.634,64.94,7.948,11.658,1472.5,73.7
2024-06-01T01:30,2.644,65.53,7.888,12.387,1471.6,71.7
2024-06-01T01:40,2.883,65.61,8.003,12.326,1477.1,73.13
2024-06-01T01:50,2.352,64.15,7.931,11.744,1472.0,73.73
2024-06-01T02:00,2.806,64.84,8.033,11.924,1477.6,71.99
2024-06-01T02:10,2.378,64.68,8.004,11.739,1475.0,73.58
2024-06-01T02:20,2.473,64.62,8.135,12.086,1471.0,70.51
2024-06-01T02:30,2.271,65.6,8.073,11.964,1470.8,71.72
2024-06-01T02:40,2.892,65.37,8.127,12.579,1470.4,72.94
2024-06-01T02:50,2.672,65.39,7.915,12.272,1471.1,71.91
2024-06-01T03:00,2.512,66.39,8.098,11.743,1474.3,70.99
2024-06-01T03:10,2.834,66.19,7.925,12.269,1475.1,70.9
2024-06-01T03:20,2.729,65.39,8.069,12.117,1470.3,71.52
2024-06-01T03:30,2.209,66.33,8.099,12.539,1472.7,70.56
2024-06-01T03:40,2.809,66.37,7.861,12.055,1470.8,73.09
2024-06-01T03:50,2.731,64.41,7.978,12.144,1472.4,73.49
2024-06-01T04:00,2.49,64.6,7.997,12.396,1471.9,71.47
2024-06-01T04:10,2.891,65.65,7.967,12.098,1471.2,71.16
2024-06-01T04:20,2.43,65.5,7.905,11.681,1470.8,72.62
2024-06-01T04:30,2.353,66.26,8.094,11.471,1472.2,72.75
2024-06-01T04:40,2.342,64.4,8.117,12.17,1474.1,73.17
2024-06-01T04:50,2.757,64.53,7.865,11.973,1473.7,72.02
2024-06-01T05:00,2.701,65.69,8.132,11.506,1473.5,71.56
2024-06-01T05:10,2.793,64.66,7.894,11.995,1473.7,71.34
2024-06-01T05:20,2.364,66.28,7.97,12.571,1474.8,70.51
2024-06-01T05:30,2.887,66.06,8.128,12.66,1477.2,70.93
2024-06-01T05:40,2.527,64.56,7.958,11.443,1473.4,73.87
2024-06-01T05:50,2.371,65.92,7.975,11.952,1478.1,73.9
2024-06-01T06:00,2.573,65.75,7.885,11.773,1478.2,72.4
2024-06-01T06:10,2.563,65.82,7.856,12.173,1474.5,73.38
2024-06-01T06:20,2.292,66.32,7.863,11.613,1475.2,72.74
2024-06-01T06:30,2.345,64.29,8.107,11.695,1475.3,72.53
2024-06-01T06:40,2.472,65.39,7.997,12.657,1472.2,72.87
2024-06-01T06:50,2.344,64.93,8.042,11.766,1473.1,73.0
2024-06-01T07:00,2.227,65.07,8.141,12.737,1471.2,71.05
2024-06-01T07:10,2.36,66.2,8.106,12.571,1473.6,70.85
2024-06-01T07:20,2.756,65.64,8.026,12.72,1475.9,70.3
2024-06-01T07:30,2.743,64.66,8.042,12.649,1471.7,70.68
2024-06-01T07:40,2.244,65.25,7.925,12.178,1476.4,71.0
