timestamp,vibration_mm_s,temperature_c,pressure_bar,current_a,rpm,acoustic_db
2024-06-01T00:00,4.132,69.58,7.422,13.922,1453.1,77.45
2024-06-01T00:10,3.731,69.86,7.252,13.905,1450.3,78.26
2024-06-01T00:20,4.188,69.92,7.474,14.402,1457.2,77.18
2024-06-01T00:30,3.583,69.48,7.423,14.312,1455.6,76.95
2024-06-01T00:40,4.088,70.38,7.483,14.315,1453.5,79.95
2024-06-01T00:50,3.924,70.81,7.43,14.485,1455.2,76.86
2024-06-01T01:00,3.53,70.24,7.3,13.545,1449.5,78.3
2024-06-01T01:10,3.727,70.28,7.2,14.439,1449.6,79.73
2024-06-01T01:20,4.165,70.78,7.379,13.851,1454.4,79.45
2024-06-01T01:30,4.2,70.29,7.499,14.157,1452.0,78.19
2024-06-01T01:40,3.607,69.13,7.216,14.555,1452.2,79.15
2024-06-01T01:50,3.892,69.47,7.273,13.819,1453.1,78.39
2024-06-01T02:00,3.618,70.07,7.286,13.774,1452.1,78.7
2024-06-01T02:10,4.124,70.9,7.198,13.274,1455.4,77.45
2024-06-01T02:20,4.074,70.93,7.533,14.521,1452.0,78.65
2024-06-01T02:30,3.61,70.01,7.557,14.243,1452.5,78.7
2024-06-01T02:40,4.249,69.9,7.32,14.394,1456.7,79.01
2024-06-01T02:50,4.164,71.18,7.442,13.971,1455.0,78.02
2024-06-01T03:00,3.792,70.06,7.239,13.472,1458.0,78.28
2024-06-01T03:10,3.685,69.38,7.197,14.482,1449.5,79.42
2024-06-01T03:20,4.173,71.62,7.181,13.67,1456.2,76.86
2024-06-01T03:30,3.808,69.45,7.498,14.366,1456.6,77.0
2024-06-01T03:40,3.858,70.2,7.435,13.513,1452.9,77.48
2024-06-01T03:50,4.108,70.31,7.377,13.628,1456.6,78.22
2024-06-01T04:00,4.178,70.06,7.542,14.708,1453.1,77.47
2024-06-01T04:10,3.816,70.54,7.549,14.44,1456.5,76.9
2024-06-01T04:20,3.712,70.88,7.512,14.021,1449.5,79.73
2024-06-01T04:30,4.193,69.8,7.467,13.57,1457.5,76.93
2024-06-01T04:40,3.863,71.78,7.25,13.855,1451.9,76.45
2024-06-01T04:50,3.556,70.44,7.254,14.724,1452.2,76.46
2024-06-01T05:00,4.259,71.45,7.42,14.398,1449.8,77.49
2024-06-01T05:10,4.179,71.01,7.215,14.26,1452.9,76.36
2024-06-01T05:20,3.579,69.69,7.493,14.009,1455.7,78.45
2024-06-01T05:30,3.604,69.78,7.279,13.206,1452.6,79.51
2024-06-01T05:40,3.881,69.24,7.52,14.084,1448.6,78.4
2024-06-01T05:50,3.71,69.33,7.329,14.112,1450.8,78.0
2024-06-01T06:00,4.048,69.14,7.547,13.235,1453.7,78.36
2024-06-01T06:10,4.307,70.54,7.313,13.878,1454.8,80.26
2024-06-01T06:20,3.719,68.92,7.471,13.677,1455.7,78.84
2024-06-01T06:30,4.134,71.07,7.288,13.195,1453.9,79.58
2024-06-01T06:40,3.657,71.19,7.341,14.235,1454.7,79.57
2024-06-01T06:50,3.567,71.17,7.338,13.591,1448.9,77.12
2024-06-01T07:00,3.55,71.63,7.36,14.703,1453.9,77.33
2024-06-01T07:10,4.119,69.4,7.297,14.368,1457.1,77.64
2024-06-01T07:20,3.616,69.92,7.509,14.307,1457.4,77.86
2024-06-01T07:30,4.296,70.3,7.352,14.595,1453.6,79.51
2024-06-01T07:40,4.098,69.03,7.394,14.431,1453.9,77.59
2024-06-01T07:50,3.581,70.77,7.275,14.078,1452.7,79.06
2024-06-01T08:00,3.798,68.91,7.5,13.676,1458.4,77.4
2024-06-01T08:10,4.301,71.61,7.181,14.131,1452.1,79.5
2024-06-01T08:20,4.061,71.62,7.208,14.082,1456.3,76.44
2024-06-01T08:30,3.571,71.09,7.297,13.721,1454.1,78.71
2024-06-01T08:40,4.06,71.59,7.299,14.328,1454.2,78.41
2024-06-01T08:50,3.836,70.68,7.25,13.288,1455.8,78.29
2024-06-01T09:00,3.827,70.41,7.254,13.522,1452.9,80.27
2024-06-01T09:10,3.746,71.47,7.345,13.301,1457.0,78.09
2024-06-01T09:20,4.237,70.05,7.184,14.195,1456.9,77.56
2024-06-01T09:30,3.796,68.9,7.365,14.529,1457.0,79.13
2024-06-01T09:40,4.261,70.61,7.465,13.916,1449.7,77.08
2024-06-01T09:50,3.63,71.06,7.157,13.988,1452.2,79.49
2024-06-01T10:00,3.961,70.52,7.181,13.596,1458.5,79.15
2024-06-01T10:10,3.941,70.99,7.475,13.219,1458.2,78.85
2024-06-01T10:20,3.881,70.71,7.283,14.505,1456.3,78.84
2024-06-01T10:30,3.668,71.57,7.318,14.557,1449.0,76.78
